Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
vgpu_unlock,https://github.com/DualCoder/vgpu_unlock,master,4118,Unlock vGPU functionality for consumer grade GPUs.,2023-11-21T14:08:14Z
tinyproxy,https://github.com/tinyproxy/tinyproxy,master,4245,tinyproxy - a light-weight HTTP/HTTPS proxy daemon for POSIX operating systems,2023-11-22T09:36:19Z
stlink,https://github.com/stlink-org/stlink,develop,3971,Open source STM32 MCU programming toolset,2023-11-21T11:28:02Z
contiki,https://github.com/contiki-os/contiki,master,3610,"The official git repository for Contiki, the open source OS for the Internet of Things",2023-11-19T01:37:22Z
CPython-Internals,https://github.com/zpoint/CPython-Internals,master,3886,"Dive into CPython internals, trying to illustrate every detail of CPython implementation",2023-11-22T07:42:03Z
ChinaDNS,https://github.com/shadowsocks/ChinaDNS,master,3552,Protect yourself against DNS poisoning in China.,2023-11-20T03:13:32Z
LuaJIT,https://github.com/LuaJIT/LuaJIT,v2.1,4145,Mirror of the LuaJIT git repository,2023-11-22T07:26:25Z
Linux-NetSpeed,https://github.com/Chikage0o0/Linux-NetSpeed,master,3721,将Linux现常用的网络加速集成在一起,2023-11-22T04:12:19Z
pthreads,https://github.com/krakjoe/pthreads,master,3479,"Threading for PHP - Share Nothing, Do Everything :)",2023-11-21T11:05:01Z
daytripper,https://github.com/dekuNukem/daytripper,master,3612,Hide-My-Windows Laser Tripwire,2023-11-21T11:35:00Z
btrfs,https://github.com/maharmstone/btrfs,master,4558,WinBtrfs - an open-source btrfs driver for Windows,2023-11-22T10:07:32Z
mobile-ffmpeg,https://github.com/tanersener/mobile-ffmpeg,master,3710,"FFmpeg for Android, iOS and tvOS. Not maintained anymore. Superseded by FFmpegKit.",2023-11-20T09:19:07Z
sc-im,https://github.com/andmarti1424/sc-im,main,3876,sc-im - Spreadsheet Calculator Improvised -- An ncurses spreadsheet program for terminal,2023-11-21T21:28:20Z
clumsy,https://github.com/jagt/clumsy,master,4442,"clumsy makes your network condition on Windows significantly worse, but in a controlled and interactive manner.",2023-11-22T10:41:11Z
dunst,https://github.com/dunst-project/dunst,master,4069,Lightweight and customizable notification daemon,2023-11-21T10:14:00Z
small-video-record,https://github.com/mabeijianxi/small-video-record,master,3440,利用FFmpeg视频录制微信小视频与其压缩处理,2023-11-22T07:47:06Z
grbl,https://github.com/gnea/grbl,master,3784,"An open source, embedded, high performance g-code-parser and CNC milling controller written in optimized C that will run on a straight Arduino",2023-11-21T21:12:06Z
flipperzero-firmware,https://github.com/flipperdevices/flipperzero-firmware,dev,9038,Flipper Zero firmware source code,2023-11-22T04:29:23Z
flatpak,https://github.com/flatpak/flatpak,main,3889,Linux application sandboxing and distribution framework,2023-11-21T01:29:05Z
xHook,https://github.com/iqiyi/xHook,master,3844,🔥 A PLT hook library for Android native ELF.,2023-11-20T14:16:54Z
sshfs-win,https://github.com/winfsp/sshfs-win,master,4291,SSHFS For Windows,2023-11-22T10:14:23Z
gamemode,https://github.com/FeralInteractive/gamemode,master,4035,Optimise Linux system performance on demand,2023-11-22T05:28:41Z
u8g2,https://github.com/olikraus/u8g2,master,4374,"U8glib library for monochrome displays, version 2 ",2023-11-22T07:35:08Z
ly,https://github.com/fairyglade/ly,master,4228,display manager with console UI,2023-11-21T14:16:38Z
legacy-cc,https://github.com/mortdeus/legacy-cc,master,3592,The earliest versions of the very first c compiler known to exist in the wild written by the late legend himself dmr. ,2023-11-22T08:22:23Z
tor,https://github.com/torproject/tor,main,4126,unofficial git repo -- report bugs/issues/pull requests on https://gitlab.torproject.org/ --,2023-11-22T09:40:28Z
hyperkit,https://github.com/moby/hyperkit,master,3538,A toolkit for embedding hypervisor capabilities in your application,2023-11-20T13:49:00Z
OBS,https://github.com/jp9000/OBS,master,3387,Open Broadcaster Software (Deprecated: See OBS Studio repository instead),2023-11-15T13:16:33Z
common,https://github.com/cucumber/common,main,3359,A home for issues that are common to multiple cucumber repositories,2023-11-17T09:09:20Z
pushdeer,https://github.com/easychen/pushdeer,main,4222,开放源码的无App推送服务，iOS14+扫码即用。亦支持快应用/iOS和Mac客户端、Android客户端、自制设备,2023-11-22T10:12:19Z
libfreenect,https://github.com/OpenKinect/libfreenect,master,3472,"Drivers and libraries for the Xbox Kinect device on Windows, Linux, and OS X",2023-11-21T14:47:14Z
orbital,https://github.com/AlexAltea/orbital,master,3508,Experimental PlayStation 4 emulator.,2023-11-19T10:10:21Z
dSYMTools,https://github.com/answer-huang/dSYMTools,master,3409,dSYM analyze,2023-11-22T06:03:41Z
sandboxie,https://github.com/sandboxie/sandboxie,master,3493,The Sandboxie application,2023-11-21T16:55:37Z
aircrack-ng,https://github.com/aircrack-ng/aircrack-ng,master,4363,WiFi security auditing tools suite,2023-11-22T01:09:28Z
f-stack,https://github.com/F-Stack/f-stack,dev,3600,"F-Stack is an user space  network development kit with high performance based on DPDK, FreeBSD TCP/IP stack and coroutine API.",2023-11-22T07:53:01Z
mimipenguin,https://github.com/huntergregal/mimipenguin,master,3592,A tool to dump the login password from the current linux user,2023-11-21T16:44:35Z
tiny-AES-c,https://github.com/kokke/tiny-AES-c,master,3834,Small portable AES128/192/256 in C,2023-11-22T03:02:22Z
ngx_http_google_filter_module,https://github.com/cuber/ngx_http_google_filter_module,master,3335,Nginx Module for Google Mirror,2023-11-16T10:04:25Z
OpenMower,https://github.com/ClemensElflein/OpenMower,main,4141,"Let's upgrade cheap off-the-shelf robotic mowers to modern, smart RTK GPS based lawn mowing robots!",2023-11-21T12:30:18Z
hstr,https://github.com/dvorka/hstr,master,3740,"bash and zsh shell history suggest box - easily view, navigate, search and manage your command history.",2023-11-22T04:02:19Z
libuv,https://github.com/joyent/libuv,moved,3275,Go to ,2023-11-17T02:08:51Z
flecs,https://github.com/SanderMertens/flecs,master,4991,A fast entity component system (ECS) for C & C++,2023-11-22T09:48:04Z
simplewall,https://github.com/henrypp/simplewall,master,4656,Simple tool to configure Windows Filtering Platform (WFP) which can configure network activity on your computer.,2023-11-22T07:33:02Z
skhd,https://github.com/koekeishiya/skhd,master,4816, Simple hotkey daemon for macOS,2023-11-22T07:04:10Z
keepalived,https://github.com/acassen/keepalived,master,3661,Keepalived,2023-11-22T01:51:50Z
edk2,https://github.com/tianocore/edk2,master,3932,EDK II,2023-11-22T10:36:35Z
rpitx,https://github.com/F5OEO/rpitx,master,3638,RF transmitter for Raspberry Pi,2023-11-20T10:18:17Z
wuffs,https://github.com/google/wuffs,main,3513,Wrangling Untrusted File Formats Safely,2023-11-21T10:49:29Z
activate-linux,https://github.com/MrGlockenspiel/activate-linux,main,3735,"The ""Activate Windows"" watermark ported to Linux",2023-11-20T23:17:46Z
uthash,https://github.com/troydhanson/uthash,master,3744,C macros for hash tables and more,2023-11-22T06:22:05Z
haproxy,https://github.com/haproxy/haproxy,master,4129,HAProxy Load Balancer's development branch (mirror of git.haproxy.org),2023-11-22T10:38:17Z
dqlite,https://github.com/canonical/dqlite,master,3574,"Embeddable, replicated and fault tolerant SQL engine.",2023-11-21T20:02:48Z
write-a-C-interpreter,https://github.com/lotabout/write-a-C-interpreter,master,3586,Write a simple interpreter of C. Inspired by c4 and largely based on it.,2023-11-22T05:14:03Z
uwsgi,https://github.com/unbit/uwsgi,master,3358,uWSGI application server container,2023-11-20T05:05:20Z
Lilu,https://github.com/acidanthera/Lilu,master,3434,Arbitrary kext and process patching on macOS,2023-11-21T01:25:51Z
xv6-riscv,https://github.com/mit-pdos/xv6-riscv,riscv,5256,Xv6 for RISC-V,2023-11-22T09:58:38Z
nanopb,https://github.com/nanopb/nanopb,master,3805,Protocol Buffers with small code size,2023-11-21T08:57:35Z
motion,https://github.com/Motion-Project/motion,master,3456,"Motion, a software motion detector.     Home page:  https://motion-project.github.io/",2023-11-21T07:15:53Z
bytehound,https://github.com/koute/bytehound,master,3740,A memory profiler for Linux.,2023-11-22T07:17:54Z
CTF-All-In-One,https://github.com/firmianay/CTF-All-In-One,master,3602,CTF竞赛权威指南,2023-11-21T13:00:54Z
wasm-micro-runtime,https://github.com/bytecodealliance/wasm-micro-runtime,main,4139,WebAssembly Micro Runtime (WAMR),2023-11-22T01:51:54Z
libaco,https://github.com/hnes/libaco,master,3392,A blazing fast and lightweight C asymmetric coroutine library  💎 ⛅🚀⛅🌞,2023-11-22T07:19:10Z
magspoof,https://github.com/samyk/magspoof,master,3737,"A portable device that can spoof/emulate any magnetic stripe, credit card or hotel card ""wirelessly"", even on standard magstripe (non-NFC/RFID) readers. It can disable Chip&PIN and predict AMEX card numbers with 100% accuracy.",2023-11-21T11:15:48Z
krackattacks-scripts,https://github.com/vanhoefm/krackattacks-scripts,research,3242,,2023-11-22T10:24:58Z
AFLplusplus,https://github.com/AFLplusplus/AFLplusplus,stable,4093,"The fuzzer afl++ is afl with community patches, qemu 5.1 upgrade, collision-free coverage, enhanced laf-intel & redqueen, AFLfast++ power schedules, MOpt mutators, unicorn_mode, and a lot more!",2023-11-22T03:44:00Z
tinyusb,https://github.com/hathach/tinyusb,master,4122,An open source  cross-platform USB stack for embedded system,2023-11-21T09:18:09Z
pocketsphinx,https://github.com/cmusphinx/pocketsphinx,master,3587,A small speech recognizer,2023-11-22T08:40:27Z
coreutils,https://github.com/coreutils/coreutils,master,3775,upstream mirror,2023-11-22T05:18:02Z
xCrash,https://github.com/iqiyi/xCrash,master,3497,"🔥 xCrash provides the Android app with the ability to capture java crash, native crash and ANR. No root permission or any system permissions are required.",2023-11-22T04:53:13Z
coz,https://github.com/plasma-umass/coz,master,3639,Coz: Causal Profiling,2023-11-21T06:02:58Z
httpd,https://github.com/apache/httpd,trunk,3311,Mirror of Apache HTTP Server. Issues: http://issues.apache.org,2023-11-21T23:52:37Z
sqlite,https://github.com/sqlite/sqlite,master,4791,Official Git mirror of the SQLite source tree,2023-11-22T02:37:55Z
varnish-cache,https://github.com/varnishcache/varnish-cache,master,3387,Varnish Cache source code repository,2023-11-21T14:00:18Z
libjpeg-turbo,https://github.com/libjpeg-turbo/libjpeg-turbo,main,3455,Main libjpeg-turbo repository,2023-11-22T08:34:10Z
linenoise,https://github.com/antirez/linenoise,master,3418,A small self-contained alternative to readline and libedit,2023-11-21T14:21:55Z
Nintendo_Switch_Reverse_Engineering,https://github.com/dekuNukem/Nintendo_Switch_Reverse_Engineering,master,3303,A look at inner workings of Joycon and Nintendo Switch,2023-11-18T21:16:33Z
jsmn,https://github.com/zserge/jsmn,master,3408,Jsmn is a world fastest JSON parser/tokenizer. This is the official repo replacing the old one at Bitbucket,2023-11-18T23:31:20Z
msquic,https://github.com/microsoft/msquic,main,3624,"Cross-platform, C implementation of the IETF QUIC protocol, exposed to C, C++, C# and Rust.",2023-11-22T02:11:04Z
eddystone,https://github.com/google/eddystone,master,3068,"Specification for Eddystone, an open beacon format from Google",2023-11-15T05:33:17Z
gifsicle,https://github.com/kohler/gifsicle,master,3466,"Create, manipulate, and optimize GIF images and animations",2023-11-21T22:44:49Z
rt-n56u,https://github.com/hanwckf/rt-n56u,master,3204,Padavan,2023-11-22T02:11:06Z
rubinius,https://github.com/rubinius/rubinius,master,3051,The Rubinius Language Platform,2023-11-20T04:02:34Z
nDPI,https://github.com/ntop/nDPI,dev,3446,Open Source Deep Packet Inspection Software Toolkit,2023-11-21T17:45:08Z
FreeRTOS,https://github.com/FreeRTOS/FreeRTOS,main,4182,'Classic' FreeRTOS distribution.  Started as Git clone of FreeRTOS SourceForge SVN repo.  Submodules the kernel.,2023-11-22T08:30:59Z
stellar-core,https://github.com/stellar/stellar-core,master,3072,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network,2023-11-20T18:33:23Z
ovs,https://github.com/openvswitch/ovs,master,3302,Open vSwitch,2023-11-22T06:28:19Z
minecraft-weekend,https://github.com/jdah/minecraft-weekend,master,3531,"Minecraft, but I made it in 48 hours.",2023-11-22T07:50:47Z
picom,https://github.com/yshui/picom,next,3621,A lightweight compositor for X11,2023-11-22T05:04:52Z
UEFITool,https://github.com/LongSoft/UEFITool,new_engine,3747,UEFI firmware image viewer and editor,2023-11-21T08:15:28Z
clink,https://github.com/mridgers/clink,master,3093,Bash's powerful command line editing in cmd.exe,2023-11-19T04:00:26Z
sqlitestudio,https://github.com/pawelsalawa/sqlitestudio,master,3875,"A free, open source, multi-platform SQLite database manager.",2023-11-21T21:41:10Z
v4l2loopback,https://github.com/umlaeute/v4l2loopback,main,3365,v4l2-loopback device ,2023-11-21T13:02:07Z
wsltty,https://github.com/mintty/wsltty,master,3063,Mintty as a terminal for Bash on Ubuntu on Windows / WSL,2023-11-21T16:17:32Z
tinyvm,https://github.com/jakogut/tinyvm,master,3079,"TinyVM is a small, fast, lightweight virtual machine written in pure ANSI C.",2023-11-22T03:11:47Z
minhook,https://github.com/TsudaKageyu/minhook,master,3680,The Minimalistic x86/x64 API Hooking Library for Windows,2023-11-22T02:04:24Z
emojicode,https://github.com/emojicode/emojicode,master,3138,😀😜🔂 World’s only programming language that’s bursting with emojis,2023-11-21T22:20:47Z
rtty,https://github.com/zhaojh329/rtty,master,3421,🐛 Access your terminal from anywhere via the web.,2023-11-22T01:03:59Z
C,https://github.com/Mzzopublic/C,master,3340,C语言,2023-11-22T08:01:23Z
nng,https://github.com/nanomsg/nng,master,3394,nanomsg-next-generation -- light-weight brokerless messaging,2023-11-22T07:40:43Z
noise-suppression-for-voice,https://github.com/werman/noise-suppression-for-voice,master,4001,Noise suppression plugin based on Xiph's RNNoise,2023-11-22T05:47:16Z
oj,https://github.com/ohler55/oj,develop,3056,Optimized JSON,2023-11-21T10:18:53Z
zsh,https://github.com/zsh-users/zsh,master,3300,Mirror of the Z shell source code repository.,2023-11-20T03:21:06Z
AFL,https://github.com/google/AFL,master,3305,american fuzzy lop - a security-oriented fuzzer,2023-11-22T08:57:25Z
cmatrix,https://github.com/abishekvashok/cmatrix,master,3501,"Terminal based ""The Matrix"" like implementation",2023-11-21T16:10:08Z
nchan,https://github.com/slact/nchan,master,2958,"Fast, horizontally scalable, multiprocess pub/sub queuing server and proxy for HTTP, long-polling, Websockets and EventSource (SSE), powered by Nginx.",2023-11-21T10:31:22Z
p2pvc,https://github.com/mofarrell/p2pvc,master,2892,A point to point color terminal video chat.,2023-11-11T22:35:36Z
tectonic,https://github.com/tectonic-typesetting/tectonic,master,3548,"A modernized, complete, self-contained TeX/LaTeX engine, powered by XeTeX and TeXLive.",2023-11-22T02:11:30Z
icmptunnel,https://github.com/DhavalKapil/icmptunnel,master,3000,Transparently tunnel your IP traffic through ICMP echo and reply packets.,2023-11-21T14:36:43Z
