Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
smenu,https://github.com/p-gen/smenu,master,2292,"smenu started as a lightweight and flexible terminal menu generator, but quickly evolved into a powerful and versatile CLI selection tool for interactive or scripting use.",2023-11-21T15:05:35Z
lmdb,https://github.com/LMDB/lmdb,mdb.master,2332,Read-only mirror of official repo on openldap.org. Issues and pull requests here are ignored. Use OpenLDAP ITS for issues.,2023-11-18T06:13:22Z
mtr,https://github.com/traviscross/mtr,master,2419,"Official repository for mtr, a network diagnostic tool",2023-11-21T21:54:36Z
openssh-portable,https://github.com/openssh/openssh-portable,master,2583,Portable OpenSSH,2023-11-21T07:46:15Z
earlyoom,https://github.com/rfjakob/earlyoom,master,2439,earlyoom - Early OOM Daemon for Linux,2023-11-20T04:33:26Z
proxmark3,https://github.com/RfidResearchGroup/proxmark3,master,3061,Iceman Fork - Proxmark3,2023-11-22T03:12:39Z
yajl,https://github.com/lloyd/yajl,master,2116,A fast streaming JSON parsing library in C.,2023-11-20T08:51:51Z
i3blocks,https://github.com/vivien/i3blocks,master,2186,The hacker-friendly status_command for Sway and i3,2023-11-20T09:18:58Z
ext-ds,https://github.com/php-ds/ext-ds,master,2094,An extension providing efficient data structures for PHP 7,2023-11-20T13:54:24Z
Arduino_Core_STM32,https://github.com/stm32duino/Arduino_Core_STM32,main,2459,STM32 core support for Arduino,2023-11-21T19:19:10Z
dustcloud,https://github.com/dgiese/dustcloud,master,2174,Xiaomi Smart Home Device Reverse Engineering and Hacking,2023-11-15T23:24:27Z
libpcap,https://github.com/the-tcpdump-group/libpcap,master,2364,the LIBpcap interface to various kernel packet capture mechanism,2023-11-21T09:04:04Z
WiringPi,https://github.com/WiringPi/WiringPi,master,2271,Gordon's Arduino wiring-like WiringPi Library for the Raspberry Pi (Unofficial Mirror for WiringPi bindings),2023-11-22T09:02:26Z
freeswitch,https://github.com/signalwire/freeswitch,master,2696,"FreeSWITCH is a Software Defined Telecom Stack enabling the digital transformation from proprietary telecom switches to a versatile software implementation that runs on any commodity hardware. From a Raspberry PI to a multi-core server, FreeSWITCH can unlock the telecommunications potential of any device.",2023-11-22T10:06:42Z
winafl,https://github.com/googleprojectzero/winafl,master,2176,A fork of AFL for fuzzing Windows binaries,2023-11-20T14:45:28Z
ReflectiveDLLInjection,https://github.com/stephenfewer/ReflectiveDLLInjection,master,2411,Reflective DLL injection is a library injection technique in which the concept of reflective programming is employed to perform the loading of a library from memory into a host process.,2023-11-20T20:05:53Z
renderer,https://github.com/zauonlok/renderer,master,2302,A shader-based software renderer written from scratch in C89,2023-11-22T09:00:47Z
wlroots,https://github.com/swaywm/wlroots,master,2093,A modular Wayland compositor library,2023-11-22T02:32:35Z
Reptile,https://github.com/f0rb1dd3n/Reptile,master,2365,LKM Linux rootkit,2023-11-22T06:38:11Z
drmemory,https://github.com/DynamoRIO/drmemory,master,2235,"Memory Debugger for Windows, Linux, Mac, and Android",2023-11-19T17:35:23Z
tcpdump,https://github.com/the-tcpdump-group/tcpdump,master,2390,the TCPdump network dissector,2023-11-21T09:36:44Z
silk-v3-decoder,https://github.com/kn007/silk-v3-decoder,master,2377,"[Skype Silk Codec SDK]Decode silk v3 audio files (like wechat amr, aud files, qq slk files) and convert to other format (like mp3). Batch conversion support.",2023-11-21T21:25:44Z
tinn,https://github.com/glouw/tinn,master,2056,A tiny neural network library,2023-11-21T01:08:36Z
esp32-snippets,https://github.com/nkolban/esp32-snippets,master,2228,Sample ESP32 snippets and code fragments,2023-11-20T10:09:05Z
ExpressLRS,https://github.com/ExpressLRS/ExpressLRS,master,2747,STM32/ESP32/ESP8285-based High-Performance Radio Link for RC applications,2023-11-21T21:33:47Z
OpenSC,https://github.com/OpenSC/OpenSC,master,2280,Open source smart card tools and middleware. PKCS#11/MiniDriver/Tokend,2023-11-20T12:13:51Z
esp-homekit-devices,https://github.com/RavenSystem/esp-homekit-devices,master,2428,"Advanced firmware to add native Apple HomeKit support and custom configurations over WiFi, compatible with any SoC based on ESP32, ESP32-S, ESP32-C and ESP8266 series.",2023-11-21T01:30:14Z
Il2CppInspector,https://github.com/djkaty/Il2CppInspector,master,2365,Powerful automated tool for reverse engineering Unity IL2CPP binaries,2023-11-22T03:13:11Z
wax,https://github.com/probablycorey/wax,master,1981,Wax is now being maintained by alibaba,2023-11-21T18:23:52Z
ATC_MiThermometer,https://github.com/atc1441/ATC_MiThermometer,master,2470,Custom firmware for the Xiaomi Thermometer LYWSD03MMC and Telink Flasher via USB to Serial converter,2023-11-21T20:57:13Z
Down,https://github.com/johnxnguyen/Down,master,2140,"Blazing fast Markdown / CommonMark rendering in Swift, built upon cmark.",2023-11-19T20:54:33Z
xcape,https://github.com/alols/xcape,master,2054,Linux utility to configure modifier keys to act as other keys when pressed and released on their own.,2023-11-12T14:54:20Z
dump1090,https://github.com/antirez/dump1090,master,2225,Dump1090 is a simple Mode S decoder for RTLSDR devices,2023-11-20T20:49:23Z
userland,https://github.com/raspberrypi/userland,master,2017,Source code for ARM side libraries for interfacing to Raspberry Pi GPU.,2023-11-18T07:57:17Z
OpenGL,https://github.com/McNopper/OpenGL,master,2202,OpenGL 3 and 4 with GLSL,2023-11-20T14:10:07Z
gpac,https://github.com/gpac/gpac,master,2380,"Modular Multimedia framework for packaging, streaming and playing your favorite content, see http://netflix.gpac.io",2023-11-22T03:48:44Z
HID,https://github.com/NicoHood/HID,master,2190,Bring enhanced HID functions to your Arduino!,2023-11-20T11:22:01Z
libsixel,https://github.com/saitoha/libsixel,master,2321,A SIXEL encoder/decoder implementation derived from kmiya's sixel (https://github.com/saitoha/sixel).,2023-11-21T12:10:44Z
unbound,https://github.com/NLnetLabs/unbound,master,2528,"Unbound is a validating, recursive, and caching DNS resolver.",2023-11-22T04:01:02Z
sqlite,https://github.com/mackyle/sqlite,master,1967,Unofficial git mirror of SQLite sources (see link for build instructions),2023-11-19T09:02:24Z
ldd3,https://github.com/martinezjavier/ldd3,master,2201,Linux Device Drivers 3 examples updated to work in recent kernels,2023-11-22T07:31:56Z
nexmon,https://github.com/seemoo-lab/nexmon,master,2227,"The C-based Firmware Patching Framework for Broadcom/Cypress WiFi Chips that enables Monitor Mode, Frame Injection and much more",2023-11-22T06:20:16Z
zapret,https://github.com/bol-van/zapret,master,2340,Обход DPI в linux,2023-11-20T06:46:59Z
wiredtiger,https://github.com/wiredtiger/wiredtiger,develop,2093,WiredTiger's source tree,2023-11-22T10:19:46Z
openmv,https://github.com/openmv/openmv,master,2206,OpenMV Camera Module,2023-11-21T15:32:19Z
ffmpeg-kit,https://github.com/arthenica/ffmpeg-kit,main,3280,"FFmpeg Kit for applications. Supports Android, Flutter, iOS, Linux, macOS, React Native and tvOS. Supersedes MobileFFmpeg, flutter_ffmpeg and react-native-ffmpeg.",2023-11-22T10:24:06Z
nanos,https://github.com/nanovms/nanos,master,2117,A kernel designed to run one and only one application in a virtualized environment,2023-11-18T15:20:12Z
ettercap,https://github.com/Ettercap/ettercap,master,2135,Ettercap Project,2023-11-21T18:19:39Z
open62541,https://github.com/open62541/open62541,master,2292,Open source implementation of OPC UA (OPC Unified Architecture) aka IEC 62541 licensed under Mozilla Public License v2.0,2023-11-21T10:25:02Z
printf-tac-toe,https://github.com/carlini/printf-tac-toe,master,2018,tic-tac-toe in a single call to printf,2023-11-20T12:37:25Z
noah,https://github.com/linux-noah/noah,master,1931,Bash on Ubuntu on macOS,2023-11-03T10:16:41Z
sundown,https://github.com/vmg/sundown,master,1958,"Standards compliant, fast, secure markdown processing library in C",2023-10-31T09:49:22Z
ejoy2d,https://github.com/ejoy/ejoy2d,master,1935,A 2D Graphics Engine for Mobile Game,2023-11-16T04:49:08Z
proxydroid,https://github.com/madeye/proxydroid,master,2125,Global Proxy for Android,2023-11-20T10:22:46Z
gps-sdr-sim,https://github.com/osqzss/gps-sdr-sim,master,2296,Software-Defined GPS Signal Simulator,2023-11-22T10:36:05Z
RTKLIB,https://github.com/tomojitakasu/RTKLIB,master,2228,,2023-11-22T09:11:28Z
Adafruit-GFX-Library,https://github.com/adafruit/Adafruit-GFX-Library,master,2157,"Adafruit GFX graphics core Arduino library, this is the 'core' class that all our other graphics libraries derive from",2023-11-21T21:29:05Z
raygui,https://github.com/raysan5/raygui,master,2566,A simple and easy-to-use immediate-mode gui library,2023-11-21T22:13:02Z
riscv-gnu-toolchain,https://github.com/riscv-collab/riscv-gnu-toolchain,master,2808,"GNU toolchain for RISC-V, including GCC",2023-11-22T09:04:17Z
criu,https://github.com/checkpoint-restore/criu,criu-dev,2427,Checkpoint/Restore tool,2023-11-21T00:17:58Z
pspg,https://github.com/okbob/pspg,master,2082,"Unix pager (with very rich functionality) designed for work with tables. Designed for PostgreSQL, but MySQL is supported too. Works well with pgcli too. Can be used as CSV or TSV viewer too. It supports searching, selecting rows, columns, or block and export selected area to clipboard. ",2023-11-21T07:59:26Z
c-jwt-cracker,https://github.com/brendan-rius/c-jwt-cracker,master,2195,JWT brute force cracker written in C,2023-11-20T01:45:40Z
LVS,https://github.com/alibaba/LVS,master,1961,"A distribution of Linux Virtual Server with some advanced features. It introduces a new packet forwarding method - FULLNAT other than NAT/Tunneling/DirectRouting, and defense mechanism against synflooding attack - SYNPROXY.",2023-11-21T16:25:00Z
util-linux,https://github.com/util-linux/util-linux,master,2324,,2023-11-22T00:39:05Z
fwupd,https://github.com/fwupd/fwupd,main,2366,A system daemon to allow session software to update firmware,2023-11-20T20:24:49Z
thc-tips-tricks-hacks-cheat-sheet,https://github.com/hackerschoice/thc-tips-tricks-hacks-cheat-sheet,master,2558,Various tips & tricks,2023-11-22T03:11:39Z
FreeDVDBoot,https://github.com/CTurt/FreeDVDBoot,master,2056,PlayStation 2 DVD Player Exploit,2023-11-21T22:32:02Z
simplest_ffmpeg_mobile,https://github.com/leixiaohua1020/simplest_ffmpeg_mobile,master,1914,ffmpeg examples in Android / IOS / WinPhone,2023-11-03T17:11:44Z
keen,https://github.com/keendreams/keen,master,1915,Keen Dreams on Greenlight!,2023-11-17T02:52:46Z
php-ext-xlswriter,https://github.com/viest/php-ext-xlswriter,master,2153,🚀 PHP Extension for creating and reader XLSX files. ,2023-11-22T03:35:30Z
playerctl,https://github.com/altdesktop/playerctl,master,2193,"🎧 mpris media player command-line controller for vlc, mpv, RhythmBox, web browsers, cmus, mpd, spotify and others.",2023-11-22T05:15:06Z
printf,https://github.com/mpaland/printf,master,2236,"Tiny, fast, non-dependent and fully loaded printf implementation for embedded systems. Extensive test suite passing.",2023-11-20T16:04:22Z
HackSysExtremeVulnerableDriver,https://github.com/hacksysteam/HackSysExtremeVulnerableDriver,master,2186,HackSys Extreme Vulnerable Driver (HEVD) - Windows & Linux,2023-11-22T01:53:09Z
onion,https://github.com/davidmoreno/onion,master,1975,C library to create simple HTTP servers and Web Applications.,2023-11-17T12:49:02Z
termbox,https://github.com/nsf/termbox,master,1926,Library for writing text-based user interfaces,2023-11-13T07:44:11Z
ltp,https://github.com/linux-test-project/ltp,master,2149,Linux Test Project http://linux-test-project.github.io/,2023-11-19T14:44:50Z
crun,https://github.com/containers/crun,main,2583,A fast and lightweight fully featured OCI runtime and C library for running containers,2023-11-21T08:35:30Z
nuster,https://github.com/jiangwenyuan/nuster,master,1904,A high performance HTTP proxy cache server and RESTful NoSQL cache server based on HAProxy,2023-11-22T07:35:39Z
tetragon,https://github.com/cilium/tetragon,main,2914,eBPF-based Security Observability and Runtime Enforcement,2023-11-22T09:05:14Z
HyperDbg,https://github.com/HyperDbg/HyperDbg,master,2378,State-of-the-art native debugging tool,2023-11-22T10:14:30Z
msysgit,https://github.com/msysgit/msysgit,master,1866,msysGit has been superseded by Git for Windows 2.x,2023-10-16T09:28:31Z
libarchive,https://github.com/libarchive/libarchive,master,2691,Multi-format archive and compression library,2023-11-21T14:39:42Z
mc,https://github.com/MidnightCommander/mc,master,2174,Midnight Commander's repository,2023-11-20T23:58:13Z
